Card,Image,Title,planet_orb,planet_house,sign_1,sign_2,sign_3,suit_1,suit_2,path,sephira,element_1,element_2,info,deepinfo
The Star,the_star.jpg,,Neptune,Saturn,Aquarius,,,,,15.2.6,,,,Hope. Unexpected help. Clarity of vision. Spiritual insight. Ill-dignified: Error of judgment. Dreaminess. Disappointment.,"The Star. Every form of energy in the card is spiral; this is in anticipation of the present Aeon, that of Horus, the crowned and conquering Child, successor to the ""dying god,"" Osiris. The departing Aeon is shown in the rectilinear forms of energy issuing from the lower cup. These forms stand for the now abandoned Euclidean geometry. The figure of the goddess may be taken as a manifestation of the surrounding space of Heaven."
Six of Swords,six_of_swords.jpg,Science,Mercury,Sol,Aquarius,,,Swords,,,Tiphareth,Air,,Science. Intelligence that has realized its goal. Labor. Work. Success after anxiety. Passage from difficulty. Journey by water. Ill-dignified: Selfishness. Conceit. Intellectual pride.,"Six of Swords = Science. Tiphareth in the suit of Air. Mercury in Aquarius. The ornamental hilts of the Swords form a hexagon in the card. Their points touch the outer petals of the red rose upon a Golden Cross of six squares. The perfect balance of mental and moral faculties, hardly won and impossible to hold, interprets the idea of Science."
Knight of Swords,knight_of_swords.jpg,,,,Gemini,Taurus,,Swords,Disks,,,Air,Fire,"Represents the fiery part of air. A man, active, skillful and clever, fierce, delicate and courageous but often unreflective. Ill-dignified: A man incapable of decision, deceitful, tyrannical and crafty.","Knight of Swords represents the fiery part of air, wind and storm; the violent power of motion applied to a manageable element. He is represented as a warrior with a helmet bearing a revolving wing, and mounted on a maddened steed. He carries a Sword and a Poniard."
The Priestess,the_priestess.jpg,,Luna,,,,,,,13.1.6,,,,"Pure, exalted and gracious influence enters the matter, hence change, alternation, increase and decrease, fluctuation. May be led away by enthusiasm unless careful balance maintained.","The Priestess. She is Isis, the eternal virgin, and again she is Artemis. It is for this reason she is clothed in the luminous veil of light, light being viewed not as the manifestation, but as the veil, of the spirit."
Lust,lust.jpg,,Uranus,Sol,Leo,,,,,19.4.5,,,,Courage. Strength. Energy. Use of magical power. Control of the life force. Great love affair. Resort to magic.,"Lust. This card was formally called Strength. It implies, however, not only strength, but joy in strength exercised. The seven heads of the lion are, respectively, that of an angel, saint, poet, adulteress, warrior, satyr, and lion-serpent. The central figure is the woman, who has surrendered herself to all the forces of creation and who rides astride of the Beast. In her left hand she holds the reins, as representing the passion which unites them, and in her right she holds aloft the Cup aflame with love and death. In this Cup are mingled the elements of the sacrament of the Aeon. In the background are the bloodless figures of the saints on whom this mirage travails, for their whole life has been absorbed into the Holy Grail."
Three of Disks,three_of_disks.jpg,Work,Mars,Saturn,Capricorn,,,Disks,,,Binah,Earth,,"Works. Business. Paid employment. Commercial transaction. Constructive building up. Increase of material things. Growth. Commencement of matters to be established later. Ill-dignified: Selfish, narrow, prejudiced, greedy person seeking impossibilities.","Three of Disks = Work. Binah in the element of Earth. Mars in Capricornus. This card represents a pyramid viewed from above. The base is formed of three wheels which typify Mercury, Sulphur and Salt, Sattva, Rajas, and Tamas, Aleph, Shin, and Mem. This means the material establishment of the idea of the universe."
The Lovers,the_lovers.jpg,,Dragon's Head,Mercury,Gemini,,,,,17.3.6,,,,Openness to inspiration. Intuition. Intelligence. Childishness. Attraction. Beauty. Love. Ill-dignified: Self-contradiction. Instability. Indecision. Union in a shallow degree with others. Superficiality.,"The Lovers. This specifically alchemical card is a symbol of procreation, the swords drawing attention to the process of division which actually takes place. Cain and Abel represent the refusal of God to hear the children of Eve until blood is shed. This seems to be the symbolisation of external religion. It was by means of the shedding of blood and of external religions that Cain was able to have contact with his fellow men. In that sense the meaning of the card is the giving of science to mankind, since the murder symbolises analysis and the subsequent contact, synthesis."
Three of Wands,three_of_wands.jpg,Virtue,Sol,Saturn,Aries,,,Wands,,,Binah,Fire,,Virtue. Established strength. Success after struggle. Pride and arrogance. Realization of hope. Nobility. Ill-dignified: Conceit.,"Three of Wands = Virtue. Binah in the suit of Fire. Sun in Aries. The Wands take the form of the Lotus, and represent the establishment of primeval energy."
Seven of Swords,seven_of_swords.jpg,Futility,Luna,Venus,Aquarius,,,Swords,,,Netzach,Air,,Futility. Unstable effort. Vacillation. Vain striving against opposition too powerful. Partial success by giving up on the brink of winning through lack of energy. Fascination with display. Journey by land. Untrustworthy person.,Seven of Swords = Futility. Netzach in the suit of Air. Moon in Aquarius. The card shows six Swords with their hilts in crescent formation. Their points impinge on a much larger upthrusting Sword. Here vacillation and compromise are depicted.
The Magus,the_magus.jpg,,Mercury,,,,,,,12.1.3,,,,Skill. Wisdom. Adroitness. Elasticity. Craft. Cunning. Deceit. Theft. Sometimes occult wisdom or power. Messages. Business transactions. Ill-dignified: Learning or intelligence interfering with the matter in hand.,"The Magician or Juggler. Mercury, who is Wisdom. Will and Word, by whom the world is created, symbolises the fluidic basis of all transmission of activity. Behind him and through him is the Ape, Hanuman, which is a Hindu conception. The Egyptian counterpart, Thoth, is also always followed by the Cynocephalus Ape."
